loader,preprocessor,model,pg_scheme,task,accuracy_mean,accuracy_std,f1_mean,f1_std,status
whole_set,hydrophobicity,knn,default_uzh_mit,classification,0.5783501006036218,0.036703333905621444,0.3664219346275096,0.07631263137138217,success
whole_set_shuffled,hydrophobicity,xgb,default_uzh_mit,classification,0.5727272727272728,0.021076405671581172,0.4339484377370718,0.039539728251252584,success
reaction_set,hydrophobicity,knn,default_uzh_mit,classification,0.5556539235412474,0.038492917727977034,0.31949849849849854,0.035039303100529544,success
whole_set_shuffled,hydrophobicity,knn,default_uzh_mit,classification,0.5431818181818182,0.04395245364957664,0.29169373909672414,0.043159031389552044,success
whole_set_shuffled,occurency,rff,default_uzh_mit,classification,0.6522727272727273,0.05261744046722829,0.5327771905265263,0.07319348349336197,success
whole_set,occurency,rff,default_uzh_mit,classification,0.6496579476861167,0.03911800004195004,0.5166378133761235,0.08100260919495701,success
reaction_set,occurency,rff,default_uzh_mit,classification,0.6468812877263581,0.04403267787781177,0.4861538560228281,0.07335254630153035,success
whole_set_shuffled,occurency,xgb,default_uzh_mit,classification,0.6454545454545454,0.01955073924327868,0.5441569513180766,0.04423023278358298,success
reaction_set,occurency,knn,default_uzh_mit,classification,0.6438229376257546,0.03426634379742754,0.5308282423244293,0.09842321786230675,success
reaction_set,occurency,xgb,default_uzh_mit,classification,0.6354124748490946,0.035817828197646895,0.4996499160996636,0.07930696671411268,success
whole_set,occurency,xgb,default_uzh_mit,classification,0.632635814889336,0.04490058543737277,0.5149547867575646,0.07911905266877965,success
whole_set_shuffled,occurency,knn,default_uzh_mit,classification,0.575,0.039756490192127056,0.47570717741345625,0.07448627024145048,success
whole_set,occurency,knn,default_uzh_mit,classification,0.5641448692152917,0.03730762115500638,0.4666770893762873,0.0822591359455921,success
whole_set,one_hot,rff,default_uzh_mit,classification,0.6267203219315894,0.04414459409058284,0.5111742632905814,0.06448242445907194,success
whole_set,one_hot,xgb,default_uzh_mit,classification,0.6124346076458752,0.04063198822480129,0.5028232286050169,0.08081822362361349,success
whole_set_shuffled,one_hot,knn,default_uzh_mit,classification,0.6090909090909091,0.01981317701609395,0.45045340929878713,0.045260923175571,success
whole_set_shuffled,one_hot,rff,default_uzh_mit,classification,0.5954545454545455,0.045794185635477005,0.45315731841905593,0.06055755088630192,success
reaction_set,one_hot,rff,default_uzh_mit,classification,0.592877263581489,0.06385616749826285,0.360098357922814,0.04795732763348476,success
